raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
New Apple iPhone 16 Pro Max 256 GB Gold,135000,Brand New,"Dhaka, Mirpur",06/08,https://bikroy.com/mirpur/mobile-phones/new-apple-iphone-16-pro-max-256-gb-gold-2HLLwl9UYWlJK1Sv0dpkQkK7.html,5,2026-09-02T05:10:22.900103+00:00,individual,"Full brand new iPhone Room- 256gb Singapore variant still has 1 month warranty, the phone has been used with great care. If anyone wants to buy, please knock, do not disturb with unnecessary texts
Address : Mirpur-12 Pallabi Sujat Nagar"
Apple iPhone 15 Pro Max 256 GB Gray,100000,Used,"Dhaka, Demra",16/08,https://bikroy.com/demra/mobile-phones/apple-iphone-15-pro-max-256-gb-gray-iO4QAEgzG5KhKtIcyUfp7ITw.html,4,2026-09-02T05:10:23.654895+00:00,individual,"No issues
Completely fresh
Battery health 90%
Everything ok
Box is also available"
Apple iPhone 14 Plus 256 GB Blue,55000,Used,"Dhaka, Dhamrai",17/08,https://bikroy.com/dhamrai/mobile-phones/apple-iphone-14-plus-256-gb-blue-rf48c3tJ8BeRMDYFEetkD34p.html,5,2026-09-02T05:10:24.195468+00:00,individual,"iPhone 14 Plus Blue
Mint condition
256 GB
ZP/A
Single SIM
Battery Health-76 original
No issues
Nothing changed, box and everything available"
Apple iPhone 13 Pro Max 128 GB Blue,52500,Used,"Dhaka, Dhanmondi",5 hours ago,https://bikroy.com/dhanmondi/mobile-phones/apple-iphone-13-pro-max-128-gb-blue-zrRtLuAhElAeiEnmPQqw3vwb.html,4,2026-09-02T05:10:24.729213+00:00,individual,"IPhone 13 PM 128gb BH77 Authentic
Fresh condition with money receipt 
No any repair history
No any scratch or dent 
Camera & battery backup so Good
Warranty policy:-
We will provide 10 day's replacement & 2 years service(without parts)
Address:- 3rd floor, shop No-411, Orchard point shopping complex, dhanmandi 7"
Xiaomi Redmi Note 11 Pro 5G 128 GB Black,17999,Used,"Dhaka, Badda",25/08,https://bikroy.com/badda/mobile-phones/xiaomi-redmi-note-11-pro-5g-128-gb-black-1DKMRmFre5Qhr8y5kxbWEnfQ.html,5,2026-09-02T05:10:26.584531+00:00,individual,"একদম ফ্রেশ কন্ডিশন, যত ইচ্ছে সময় নিয়ে দেখবেন।  বক্স সহ পাবেন।"
Xiaomi Redmi Note 13 Pro+ 512 GB Black,25000,Used,"Dhaka, Tejgaon",12 hours ago,https://bikroy.com/tejgaon/mobile-phones/xiaomi-redmi-note-13-pro-512-gb-black-62UnJXok1nB1sIOR67uHuHKH.html,3,2026-09-02T05:10:26.614219+00:00,individual,Fixed Price Original Box & Charger Available
New Xiaomi 256 GB Rose Gold,19000,Brand New,"Dhaka, Savar",23 hours ago,https://bikroy.com/savar/mobile-phones/new-xiaomi-256-gb-rose-gold-7VkIj9yZ6pQFOoU1IO8gmYfn.html,2,2026-09-02T05:10:27.394784+00:00,business,"Mi Civi 1
Ram 8GB
Rom 256GB
Enjoy 100% secure home delivery across Bangladesh within 24 hours via RedX, SA Paribahan, and Sundarban Courier Service.
Shop Location
✯ Apple Gadgets & Care (Savar)
✯ Shop 1:- D43 4Th Floor (Lift-3)
✯ Sena Shopping Complex, Savar, Dhaka✯"
Xiaomi 12 Pro 256 GB Blue,32000,Used,"Dhaka, Mohammadpur",5 hours ago,https://bikroy.com/mohammadpur/mobile-phones/xiaomi-12-pro-256-gb-blue-a71Z079FyX3LQg22j1x9jl6U.html,2,2026-09-02T05:10:28.063974+00:00,individual,"Name: Xiaomi 12 Pro 
Color: Blue 
Storage: 12GB 256GB 
Used like New With Full Box 
Price: Call for best price 
Home Delivery inside Dhaka, Courier Order all over Bangladesh 
We Accept Visa, American Express, Master & JCB Card. 
Used Mobile: 3 Days replacement & 6 months service warranty"
Xiaomi 256 GB Blue,28500,Used,"Dhaka, Mirpur",2 hours ago,https://bikroy.com/mirpur/mobile-phones/xiaomi-256-gb-blue-zcW2zL1ZMnxECgz2HexVkH0r.html,3,2026-09-02T05:10:28.699445+00:00,individual,"Redmi Note 15 5G with full box 8GB RAM/256GB storage
Buy, Sell & Exchange
Original picture uploaded

8GB/256GB - ৳28,500
100% original and non-refurbished product
10-day replacement guarantee
1-year service warranty
Mirpur Shopping Center
5th floor
Shop number 639
Mirpur 2, Dhaka 1216"
Xiaomi Redmi K40 256 GB Black,19000,Used,"Dhaka, Savar",13/08,https://bikroy.com/savar/mobile-phones/xiaomi-redmi-k40-256-gb-black-uGXmVP1Z0lNJBP6DRROpcgaD.html,3,2026-09-02T05:10:29.394332+00:00,individual,"Only phone
No display problems
Display changed 018XXXXXXXX"
Xiaomi 13 256 GB Black,30000,Used,"Dhaka, Uttara",29/08,https://bikroy.com/uttara/mobile-phones/xiaomi-13-256-gb-black-p2RI9CT9BwttTP5vOTI0tJLa.html,5,2026-09-02T05:10:29.950257+00:00,individual,"Xiaomi 13 (8/128GB) বিক্রি হবে

🔹 Model: Xiaomi 13 🔹 RAM/ROM: 8GB / 128GB 🔹 Performance: একদম স্মুথ ও ফাস্ট 🔹 Camera: Excellent flagship camera 🔹 Display: সুন্দর ও smooth 🔹 Condition: Used 🔹 Problem: Back shell/back glass ফাটা আছে (ছবিতে দেখা যাবে)"
Xiaomi Redmi Note 13 Pro 256 GB Purple,22000,Used,"Dhaka, Savar",21 hours ago,https://bikroy.com/savar/mobile-phones/xiaomi-redmi-note-13-pro-256-gb-purple-kIc90ntLS0SIPIWFi9wHas1c.html,5,2026-09-02T05:10:30.444345+00:00,individual,ফোনটি একদম ফ্রেশ এক চুল পরিমাণ কোন সমস্যা নেই। ফোনটি যত খুশি এসে দেখে চালিয়ে নিবেন। ৮/২৫৬ ক্যামেরা ২০০ মেগাপিক্সেল। ফোনটির সাথে কিছু নেই বক্স চার্জার কিছুই নেই শুধু ফোন পাবেন আর সাথে সিকিউরিটি। ফোন নিতে হলে অবশ্য লোকেশন আসতে হবে লোকেশন সাভার বাজার বাস স্ট্যান্ড বাজার রোড
Xiaomi Civi 1S 128 GB,18999,Used,"Dhaka, Mirpur",2 hours ago,https://bikroy.com/mirpur/mobile-phones/xiaomi-civi-1s-128-gb-uNO9T6bVwndpBnL98rSTv5YD.html,5,2026-09-02T05:10:31.349076+00:00,individual,"S A Gadget Mart
Shop No: 35, 3rd Floor, Baghdad Shopping Complex, Mirpur-1, Dhaka-1216
Model: Xiaomi Civi 1s 5g 
RAM: 8 GB
Storage: 128 GB
Battery: 4500 mAh
Device and cash memo available.
Replacement Guarantee: 7 Days
Service Warranty: 2 Years
Home delivery available all over Bangladesh."
Xiaomi 12 Pro 256 GB Gray,25000,Used,"Dhaka, Dhanmondi",30/08,https://bikroy.com/dhanmondi/mobile-phones/xiaomi-12-pro-256-gb-gray-kv4lY7aGbWrng1CRmM4T2W0v.html,5,2026-09-02T05:10:32.138866+00:00,individual,"Only display changed (Oled display installed)
Inbox us for more details."
