raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 17 256 GB Purple,91990,Used,"Chattogram, Chawkbazar",1 day ago,https://bikroy.com/chawkbazar/mobile-phones/apple-iphone-17-256-gb-purple-tYfj4qGzNVum3C9R8Ya2ijiC.html,3,2026-09-06T05:55:53.359711+00:00,individual,"Apple iPhone 17
256GB | LL/A Variant
Battery Health 100%
Cycle Count: 6
Apple Warranty Available
First Use: January 2026
Enjoy 15-day replacement guarantee | Lifetime service -
Finlay Square, Level-4, Shop-406, 2 No Gate, Nasirabad, Chattogram"
Apple iPhone 16 Pro Max 256 GB Bronze,115000,Used,"Rajshahi, Shaheb Bazar",1 day ago,https://bikroy.com/shaheb-bazar/mobile-phones/apple-iphone-16-pro-max-256-gb-bronze-dkozXQRyhyMTwlV9REij7Sfr.html,3,2026-09-06T05:55:55.132884+00:00,individual,"iPhone 16 Pro Max, 256 GB, 91% battery health, USA version, super condition, 7 days replacement guarantee, 1 year service warranty. Exchange possible. Our Address: Smart Choice, Shop No. 211, City Center, Beside Rajshahi College, Sonadighi Mor, Rajshahi. Call for details."
Samsung Galaxy A35 128 GB Pink,23990,Used,"Chattogram, Agrabad",1 day ago,https://bikroy.com/agrabad/mobile-phones/samsung-galaxy-a35-128-gb-pink-uoH420XnoQFDCFqm5XQP5yAC.html,2,2026-09-06T05:55:57.428773+00:00,individual,"Set in fully fresh condition 
100% ok
Ram 8+128
With charger and cash memo"
Samsung Galaxy S21 FE 5G 128 GB Green,18000,Used,"Rajshahi, Shaheb Bazar",29/08,https://bikroy.com/shaheb-bazar/mobile-phones/samsung-galaxy-s21-fe-5g-128-gb-green-3pbJRRVPKwwC7J0pAFE2lygp.html,5,2026-09-06T05:55:58.754732+00:00,individual,All ok . No issue just Display change full fresh phone Brand new condition
Xiaomi Civi 5 Pro 256 GB Graphite,41000,Used,"Dhaka, Savar",1 day ago,https://bikroy.com/savar/mobile-phones/xiaomi-civi-5-pro-256-gb-graphite-NRXTw823trQKQKA1x5FBL2N.html,5,2026-09-06T05:56:00.750074+00:00,individual,"Xiaomi Civi 5 pro
99% health
Chinese variant
12/256gb"
Xiaomi Redmi Turbo 4 Pro 256 GB Black,35000,Used,"Dhaka, Gulshan",18 hours ago,https://bikroy.com/gulshan/mobile-phones/xiaomi-redmi-turbo-4-pro-256-gb-black-ic1Mx2mB8avTWztfdLk0GuKK.html,5,2026-09-06T05:56:01.285215+00:00,individual,"Redmi Turbo 4 Pro 12/256GB

RAM: 12GB | ROM: 256GB
Processor: Snapdragon 8s Gen 4
Camera: 4K 60FPS
ফুল ফ্রেশ কন্ডিশন, কোনো সার্ভিস হিস্ট্রি নেই। কোনো সমস্যা বা স্পট নেই, সম্পূর্ণ পলি করা ও perfectly working।

Box/Charger Available
Price: 35,000 টাকা
Location: Gulshan-Vatara থানার সামনে

Interested হলে Inbox করুন।"
Xiaomi 17T 256 GB Purple,53999,Used,"Dhaka, Motalib Plaza",1 day ago,https://bikroy.com/motalib-laza/mobile-phones/xiaomi-17t-256-gb-purple-dSXmLndKJCSOZjJijJlRKADC.html,3,2026-09-06T05:56:01.686644+00:00,individual,"Wholesale & Retail 
Xiaomi 17T 12/256GB (Active)
BH-100%

Mobile, Box & Charger (বক্স, চার্জার পেতে সময় লাগতে পারে ৫/৭ দিন) 

Address: Hridoy Communication, 2nd Floor, Shop no: 338"
Xiaomi 13 256 GB Black,24000,Used,"Dhaka, Demra",10 hours ago,https://bikroy.com/demra/mobile-phones/xiaomi-13-256-gb-black-hYOgtlgQA5IUPIvvpWetg04z.html,3,2026-09-06T05:56:02.447507+00:00,individual,"Display replaced from Bashundhara Market, brand new display, box included with it. Real buyers only call, please don't give a bad impression by offering ridiculous prices. If interested, you must come to the location at Staff Quarter, Demra."
Xiaomi 12 256 GB,24000,Used,"Dhaka, Keraniganj",1 day ago,https://bikroy.com/keraniganj/mobile-phones/xiaomi-12-256-gb-CexGNmkQnC73sltqXe4Fb3Nq.html,5,2026-09-06T05:56:02.974223+00:00,individual,"Xiaomi 12 5G | 8GB RAM | 256GB ROM

🔹 Processor: Snapdragon 8 Gen 1
🔹 RAM: 8GB
🔹 ROM: 256GB
🔹 Color: Glow Blue
🔹 Box: নেই
🔹 Charger: নেই
🔹 Price: ৳25,000
🔹 Serious buyer-এর জন্য discount থাকবে।

🔥 Powerful Snapdragon 8 Gen 1 performance
✨ Premium Glow Blue color
💾 8/256GB — ample storage & smooth performance

📩 Interested buyers"
Samsung Galaxy A36 256 GB Purple,30000,Used,"Rajshahi, Laksimipur",22 hours ago,https://bikroy.com/laksimipur/mobile-phones/samsung-galaxy-a36-256-gb-purple-kEzXHvSVwag157cMah3HDQ2a.html,3,2026-09-06T05:56:03.508368+00:00,individual,100% full fresh and look like brand new condition
Samsung Galaxy A36 256 GB Purple,30000,Used,"Rajshahi, Laksimipur",27/08,https://bikroy.com/laksimipur/mobile-phones/samsung-galaxy-a36-256-gb-purple-8It1fs9QAbmXnEnEEcf19PzG.html,3,2026-09-06T05:56:04.037240+00:00,individual,Olpo kichu din use kora hoyeche.. Fully fresh phone.. Phone ar sathe back cover r phone a privacy protector o piche poli lagano hoyeche..
