raw_title,price,condition_raw,location,posted_date,url,photo_count,scraped_at,seller_type,description
Apple iPhone 14 Pro Max 256 GB Black,58000,Used,"Chattogram, Halishahar",12/08,https://bikroy.com/halishahar/mobile-phones/apple-iphone-14-pro-max-256-gb-black-i8IDebqNZVY95FkKU35n0Rzh.html,5,2026-08-28T00:25:41.089246+00:00,individual,"Sell post 
IPHONE 14 PRO MAX 
256 gb 
BH- 86%
1 physical + 1 eSIM 
AH/A (Middle east variant)
Genuine Display and Battery (Original)
Device full poly body
Only Device
Issue- Only Face ID disabled (after update)"
Apple iPhone 15 128 GB White,58000,Used,"Rajshahi, Kazla",2 days ago,https://bikroy.com/kazla/mobile-phones/apple-iphone-15-128-gb-white-zw4IDVwavg0sqlKOcacMQEF8.html,5,2026-08-28T00:25:43.131597+00:00,individual,"Singapore variant phone comes with a box, battery health 85%, phone is 100% fresh"
Samsung Galaxy S24 FE 256 GB Green,41990,Used,"Chattogram, CDA Avenue",18 hours ago,https://bikroy.com/cda-avenue/mobile-phones/samsung-galaxy-s24-fe-256-gb-green-ndqYZArJqC3sCbjohh9M4aHv.html,3,2026-08-28T00:25:45.234824+00:00,individual,"📱 Samsung Galaxy S25 FE

✨ Experience Like-New Quality | Fully Fresh Condition

⚡ 8GB RAM | 256GB Storage | 📸 Flagship Camera | ✨ Premium Design

🛡️ Enjoy 15-Day Replacement Guarantee | Lifetime Service Warranty

📍Finlay Square, Level-4, Shop-406, 2 No Gate, Nasirabad, Chattogram"
Samsung Galaxy Note 20 Ultra 256 GB Gold,20000,Used,"Rajshahi, Bagmara",05/08,https://bikroy.com/bagmara/mobile-phones/samsung-galaxy-note-20-ultra-256-gb-gold-rwpzWZPmulASYUBuAai69mZQ.html,3,2026-08-28T00:25:46.101097+00:00,individual,"Please read the post carefully. The display was replaced, and later it fell from hand and a black spot appeared. Other than that, there are no problems, and it can be used just like this. 12 GB RAM, 256 GB ROM. You must come to the location. The box is available, and whatever security you want will be provided. There are no other issues, you can use it like this. If you change the display, the phone will be brand new. Please call, messaging will not be replied to. Show more"
Xiaomi 13 Ultra 256 GB Black,43000,Used,"Dhaka, Keraniganj",06/08,https://bikroy.com/keraniganj/mobile-phones/xiaomi-13-ultra-256-gb-black-CeDFk20Uo19SiduDz2NEpkOE.html,5,2026-08-28T00:25:47.950606+00:00,individual,"Model: Xiaomi 13 Ultra (Global Variant)
 Variant: 12GB RAM + 256GB Storage
 Color: Black (Leather Back)
.
Condition:
 Used, Excellent Condition
 100% Functional
 Box Not Available
 Charger + 1 Cover Included
 Cash Memo Available
.
.
.
.
 Location: Dhaka, Keraniganj, Kolatia, Aksail"
New Xiaomi Redmi Turbo 4 Pro 256 GB,42999,Brand New,"Dhaka, Bashundhara City",9 hours ago,https://bikroy.com/bashundhara-city/mobile-phones/new-xiaomi-redmi-turbo-4-pro-256-gb-yrYnpfgXFaD1Cy5IjYDTJYuK.html,3,2026-08-28T00:25:48.771707+00:00,individual,"10 days replacement guarantee
 2 years service warranty
 Safe courier service across the country
 Attractive exchange offer
 Basement-1, Shop-84, Bashundhara City Shopping Mall
 Price is negotiable. Please contact via WhatsApp before coming."
Xiaomi Redmi Turbo 4 Pro 256 GB Rose Gold,37000,Used,"Dhaka, Basabo",1 day ago,https://bikroy.com/basabo/mobile-phones/xiaomi-redmi-turbo-4-pro-256-gb-rose-gold-sc6DsNZSwe1fq9iPiIgYLbvT.html,5,2026-08-28T00:25:49.379533+00:00,individual,"Phone full fresh,all ok dekhe diben,2-3 month used,box charger sob ase"
Xiaomi Civi 2 128 GB Pink,17500,Used,"Dhaka, Malibag",22/08,https://bikroy.com/malibag/mobile-phones/xiaomi-civi-2-128-gb-pink-pzOgD0Tm919luvluWevg1zOf.html,4,2026-08-28T00:25:50.097458+00:00,individual,"The phone box is missing, but the cash memo is available. It is 100% authentic and has no scratches of any kind."
Xiaomi Redmi Turbo 4 256 GB White,32000,Used,"Dhaka, Mirpur",16/08,https://bikroy.com/mirpur/mobile-phones/xiaomi-redmi-turbo-4-256-gb-white-k8JR5FSvK1xEVivgwISwehjd.html,4,2026-08-28T00:25:50.709395+00:00,individual,"Redmi turbo 4
13/256
Battery Health 95%
Activation date: December 2025
Location:
Kazipara / Kochukhet / Police Staff - any of these places"
Samsung Galaxy A36 256 GB Purple,30000,Used,"Rajshahi, Laksimipur",18 hours ago,https://bikroy.com/laksimipur/mobile-phones/samsung-galaxy-a36-256-gb-purple-8It1fs9QAbmXnEnEEcf19PzG.html,3,2026-08-28T00:25:51.322514+00:00,individual,Olpo kichu din use kora hoyeche.. Fully fresh phone.. Phone ar sathe back cover r phone a privacy protector o piche poli lagano hoyeche..
Samsung Galaxy A54 5G 128 GB Green,18000,Used,"Rajshahi, Kazla",11/08,https://bikroy.com/kazla/mobile-phones/samsung-galaxy-a54-5g-128-gb-green-BIRGegwcdjARLE3BJPBkq1Qu.html,3,2026-08-28T00:25:52.016774+00:00,individual,Samsung A54 for sale. Full fresh condition. Used almost 1 year. Phone's display ok. Protector is just broken. Asking price 18k. Bargaining option available. Contact 019XXXXXXXX
Samsung Galaxy S25 256 GB Blue,54990,Used,"Chattogram, Chawkbazar",18 hours ago,https://bikroy.com/chawkbazar/mobile-phones/samsung-galaxy-s25-256-gb-blue-dzNdgdNrPt53YkTnY7uxnYS5.html,5,2026-08-28T00:25:52.651323+00:00,individual,"Samsung Galaxy S25 (12GB / 256GB). Used for only 1 month | Super clean condition. Warranty Benefits: 15-day replacement guarantee, Lifetime service warranty."
Samsung Galaxy A17 5G 128 GB Blue,25000,Used,"Chattogram, Patenga",17/08,https://bikroy.com/patenga/mobile-phones/samsung-galaxy-a17-5g-128-gb-blue-r3aySlddEHm9CVHImOjgvNkn.html,4,2026-08-28T00:25:53.375289+00:00,individual,"Samsung A17 is one hundred percent brand new. Box, cash memo, and everything will be provided. It has been used for only 20-25 days. There is not even a microscopic scratch or mark anywhere. Only genuine buyers should inbox."
New Samsung Galaxy S26 256 GB,125999,Brand New,"Dhaka, Dhanmondi",9 hours ago,https://bikroy.com/dhanmondi/mobile-phones/new-samsung-galaxy-s26-256-gb-54WuA5W1vi7OFFYUFbSIGobS.html,4,2026-08-28T00:25:53.995032+00:00,individual,"Model: Samsung Galaxy S26 Ultra (SM-S948B/DS) - Dual SIM
Storage / RAM: 256GB ROM / 12GB RAM
Color: Cobalt Violet (Stunning, premium finish)
Origin: Made in Vietnam
Condition: 100% Brand New
Shop name: Tech Emporium
**Find us at:**
Shop 3104, Level 3, Shimanto Shambhar, Dhanmondi.
Call/WhatsApp: ** (Antor)**"
Samsung Galaxy S24 Ultra 256 GB Bronze,80000,Used,"Dhaka, Baridhara",10 hours ago,https://bikroy.com/baridhara/mobile-phones/samsung-galaxy-s24-ultra-256-gb-bronze-3WRG6Ye7jJ13UWZ7rjIZVVVw.html,3,2026-08-28T00:25:54.552313+00:00,individual,Samsung s24 Ultra Jamuna future park
Samsung Galaxy S25 Ultra 512 GB White,102000,Used,"Dhaka, Baridhara",9 hours ago,https://bikroy.com/baridhara/mobile-phones/samsung-galaxy-s25-ultra-512-gb-white-zErySP9Rx83e90DWpP1HJZa0.html,3,2026-08-28T00:25:55.320415+00:00,individual,Samsung S25 Ultra available at Jamuna Future Park.
New Samsung Galaxy A57 256 GB Blue,50500,Brand New,"Dhaka, Shyamoli",36 min ago,https://bikroy.com/shyamoli/mobile-phones/new-samsung-galaxy-a57-256-gb-blue-7SAggX0BTqzJnLiUcxerOgWU.html,2,2026-08-28T00:25:55.851343+00:00,individual,"Samsung Galaxy A57 5G, 12/256GB, brand new and intact. Location: Shyamoli. Price: 50,500tk."
Samsung Galaxy S24 FE 256 GB White,40000,Used,"Dhaka, Bashundhara City",9 hours ago,https://bikroy.com/bashundhara-city/mobile-phones/samsung-galaxy-s24-fe-256-gb-white-uRl12vs3ZVkoMescn4YaWfVB.html,3,2026-08-28T00:25:56.568183+00:00,individual,"✅ ১০ দিনের রিপ্লেসমেন্ট গ্যারান্টি
✅ ২ বছরের সার্ভিস ওয়ারেন্টি
🚚 সারা দেশে নিরাপদ কুরিয়ার সুবিধা
🔁 আকর্ষণীয় এক্সচেঞ্জ অফার

📍 Basement-1, Shop-84, Bashundhara City Shopping Mall

📩 দাম পরিবর্তনশীল। আসার আগে অবশ্যই WhatsApp-এ যোগাযোগ করুন।"
Samsung Galaxy S23 256 GB White,36000,Used,"Dhaka, Mirpur",18 hours ago,https://bikroy.com/mirpur/mobile-phones/samsung-galaxy-s23-256-gb-white-A6xfD7Esp9aRL2UZJHczrZP1.html,5,2026-08-28T00:25:56.884324+00:00,individual,"Samsung galaxy S23
Storage: 8/256
Variant: Vietnam 
Condition: Phone full covered with poly, full fresh condition. Just one green line.
Note: 25W charging adapter available( orginal charger) No box because phone purchase from abroad."
Apple iPhone 16 Pro Max 256 GB White,118000,Used,"Rajshahi, Shaheb Bazar",19 hours ago,https://bikroy.com/shaheb-bazar/mobile-phones/apple-iphone-16-pro-max-256-gb-white-5orCn8S778nKcPxvxENJdhSA.html,3,2026-08-28T00:25:57.676152+00:00,individual,"iPhone 16 Pro Max, 256 GB, 96% battery health, super condition, 7 days replacement guarantee, 1 year service warranty. Exchange possible. Our Address: Smart Choice, Shop No. 211, City Center, Beside Rajshahi College, Sonadighi Mor, Rajshahi. Call for details."
